symbol,asset_type,price,future_price,price_change,signal,label,ma5_cross,ma10_cross,ma20_cross,price_vs_ma20,price_vs_ma50,mom5,mom10,mom20,vol10,vol20,vol_ratio,rsi,macd_cross,macd_hist,bb_position,roc5,roc10,atr_pct,obv_pct,vol_trend,hl_position,score
LMT,STOCK,1.435322,1.362866,-5.0481,BUY,0,5.5262,3.3879,2.696,7.175,10.0645,5.8524,6.3939,15.5555,6.9408,13.0434,0.5321,80.5559,0.0109,0.0109,0.886,5.8524,6.3939,2.0948,6.0361,45.6278,87.0967,4
LMT,STOCK,1.407721,1.369767,-2.6961,BUY,0,5.5627,3.2812,3.0919,4.5886,7.8224,2.7708,4.0817,10.5691,6.9408,13.0434,0.5321,70.6672,0.0082,0.0082,0.5723,2.7708,4.0817,2.1534,5.9254,50.7797,74.194,4
LMT,STOCK,1.362866,1.390469,2.0253,SELL,0,-0.3236,0.0996,5.0361,-1.6679,3.2842,-1.9851,-5.0481,1.023,3.2912,6.9408,0.4742,48.3333,-0.0074,-0.0074,-0.435,-1.9851,-5.0481,1.8445,-0.8341,-53.7441,17.1426,-3
LMT,STOCK,1.366318,1.407894,3.0429,SELL,0,-1.1683,-0.522,4.8967,-1.5659,3.2541,-1.9802,-1.9802,1.7995,2.7848,6.3939,0.4355,27.2729,-0.0079,-0.0079,-0.4504,-1.9802,-1.9802,1.6053,-1.1456,-59.2233,17.6479,-3
LMT,STOCK,1.352135,1.414863,4.6392,SELL,0,-0.8918,-0.9607,3.6738,-2.5001,1.0818,-2.7569,-2.515,-5.7957,2.8351,6.1523,0.4608,41.5392,-0.0067,-0.0067,-0.8311,-2.7569,-2.515,1.1888,-4.7852,-36.2505,5.9185,-4
LMT,STOCK,1.35562,1.425318,5.1414,SELL,0,-1.1349,-0.8273,3.2105,-1.9915,1.1551,-2.5062,-1.2814,-5.0967,2.8351,6.1523,0.4608,34.2776,-0.0069,-0.0069,-0.703,-2.5062,-1.2814,1.1682,-6.8343,-19.7273,8.8785,-4
LMT,STOCK,1.418349,1.484561,4.6682,SELL,0,-0.5079,-0.153,2.6595,2.6707,5.4012,2.2613,3.5468,0.755,4.897,4.897,1.0,57.1809,-0.0012,-0.0012,1.1037,2.2613,3.5468,1.4339,-1.3369,36.3237,75.0005,0
LMT,STOCK,1.477591,1.550774,4.9529,BUY,1,3.213,1.5011,1.8653,5.1978,7.1601,3.9215,4.9504,8.144,6.767,9.7939,0.6909,78.1245,0.008,0.008,1.0622,3.9215,4.9504,1.8363,4.9518,39.499,88.3716,4
LMT,STOCK,1.477591,1.550774,4.9529,BUY,1,3.7843,1.7561,1.9046,4.8726,6.8699,4.4335,5.7356,6.2657,6.767,9.7939,0.6909,77.7772,0.008,0.008,0.9114,4.4335,5.7356,1.8531,5.2783,47.6008,88.3716,4
LMT,STOCK,1.501986,1.599561,6.4964,BUY,1,4.4592,2.0448,1.9906,6.1838,8.2975,5.379,6.9479,8.0201,8.0201,11.0825,0.7237,76.6662,0.0091,0.0091,1.0299,5.379,6.9479,1.7567,6.831,61.7212,100.0,4
LMT,STOCK,1.515924,1.655321,9.1955,BUY,1,4.9663,2.4647,2.093,6.683,8.9158,4.8192,9.0225,9.2964,8.7499,12.1134,0.7223,74.9993,0.0099,0.0099,1.0037,4.8192,9.0225,1.5928,7.985,46.0159,98.0,4
LMT,STOCK,1.51941,1.658805,9.1743,BUY,1,4.9676,2.8683,2.2222,6.4323,8.7974,2.3474,9.0,9.5477,7.3892,12.3712,0.5973,79.6292,0.01,0.01,0.8968,2.3474,9.0,1.4908,10.2485,10.3055,96.1538,4
