symbol,asset_type,price,future_price,price_change,signal,label,ma5_cross,ma10_cross,ma20_cross,price_vs_ma20,price_vs_ma50,mom5,mom10,mom20,vol10,vol20,vol_ratio,rsi,macd_cross,macd_hist,bb_position,roc5,roc10,score
LMT,STOCK,9.981377,10.175362,1.9435,SELL,0,-0.0089,1.2931,-0.6363,0.9542,0.3119,-1.2216,-0.5272,1.6158,4.8737,7.5926,0.6419,64.7726,-0.0104,-0.0104,0.2309,-1.2216,-0.5272,-3
LMT,STOCK,10.539818,10.816318,2.6234,SELL,0,-0.351,-0.4708,2.2103,1.5324,3.7765,3.1304,2.2414,-0.8361,3.6714,4.0211,0.913,60.8693,-0.0021,-0.0021,0.6386,3.1304,2.2414,0
LMT,STOCK,16.362253,16.450865,0.5416,SELL,0,1.6761,1.8798,3.9078,2.6021,6.6116,-1.0715,1.0949,3.1657,3.1308,9.8039,0.3193,68.0,-0.0083,-0.0083,0.5211,-1.0715,1.0949,1
LMT,STOCK,25.768152,26.164818,1.5394,SELL,0,1.3903,0.8957,3.7443,1.8728,5.6872,-1.688,1.9928,3.9385,5.4635,5.984,0.913,61.0039,-0.0098,-0.0098,0.5915,-1.688,1.9928,1
LMT,STOCK,27.572353,27.045683,-1.9101,SELL,1,-0.0993,0.2486,-0.3422,-0.6916,-1.0315,-1.5198,-1.193,1.329,2.0247,3.125,0.6479,60.2898,-0.0267,-0.0267,-0.3796,-1.5198,-1.193,-3
LMT,STOCK,30.842079,32.008953,3.7834,SELL,0,-0.105,0.6092,5.3328,1.7925,7.2209,0.1895,2.0533,2.3767,4.2105,6.685,0.6299,60.8258,-0.1188,-0.1188,0.5927,0.1895,2.0533,-2
LMT,STOCK,62.272934,59.614098,-4.2696,SELL,1,-0.1568,0.7235,2.5864,0.2062,2.7979,-1.2833,-0.7465,1.6999,2.7957,3.8738,0.7217,60.9946,-0.1306,-0.1306,0.0894,-1.2833,-0.7465,-3
LMT,STOCK,141.052612,146.418884,3.8044,SELL,0,-0.1454,1.1995,1.2689,-0.1716,1.0951,-2.3538,-2.8608,0.5162,4.4798,6.8563,0.6534,60.6085,-0.4822,-0.4822,-0.039,-2.3538,-2.8608,-4
LMT,STOCK,166.320068,161.590683,-2.8435,SELL,1,-0.2008,1.2371,2.0954,-0.2191,1.8717,-3.3288,-1.7868,0.6393,4.8501,6.7616,0.7173,60.9203,-0.6296,-0.6296,-0.0506,-3.3288,-1.7868,-4
LMT,STOCK,308.513245,319.958191,3.7097,SELL,0,-0.0785,0.4171,1.4274,1.4037,2.8511,1.9687,0.1085,0.3097,3.3173,3.9612,0.8374,66.7692,-0.2993,-0.2993,0.5049,1.9687,0.1085,-1
LMT,STOCK,296.102295,288.472168,-2.5769,BUY,0,-0.8803,-1.1794,-2.8945,-1.8033,-4.6456,1.1312,-0.9111,-3.1481,3.7757,5.9298,0.6367,36.1633,0.2621,0.2621,-0.5443,1.1312,-0.9111,-1
LMT,STOCK,620.310852,657.156677,5.9399,SELL,0,4.5202,3.3541,13.5304,5.1312,19.3559,-1.6777,5.5448,20.2801,9.3422,17.1443,0.5449,64.2024,-1.1813,-1.1813,0.5677,-1.6777,5.5448,1
ABTC,STOCK,17400.0,16480.0,-5.2874,BUY,0,-7.9801,-5.4519,-32.6979,-10.5904,-39.8255,1.0453,-13.1737,-23.4828,14.9826,35.1916,0.4257,32.8652,222.3811,222.3811,-0.6019,1.0453,-13.1737,-2
ABTC,STOCK,17600.0,17140.0,-2.6136,BUY,0,-6.2858,-5.1913,-33.4925,-8.2664,-38.9903,2.0882,-10.6599,-23.8095,14.9826,35.1916,0.4257,35.0829,246.2095,246.2095,-0.5187,2.0882,-10.6599,-1
