date,symbol,fear_greed,fear_greed_norm,combined_score,headline_score
2026-06-07,ABTC,12,-0.76,-0.1429,-0.1429
2026-06-07,PFE,12,-0.76,0.5714,0.5714
2026-06-07,ORCL,12,-0.76,-0.1429,-0.1429
2026-06-07,AAPL,12,-0.76,0.1429,0.1429
2026-06-07,NVDA,12,-0.76,0.1429,0.1429
2026-06-07,MSFT,12,-0.76,0.1429,0.1429
2026-06-07,AMZN,12,-0.76,0.1429,0.1429
2026-06-07,JPM,12,-0.76,-0.4286,-0.4286
2026-06-07,SPY,12,-0.76,-0.1429,-0.1429
2026-06-07,QQQ,12,-0.76,-0.1429,-0.1429
2026-06-08,BTC,8,-0.84,-0.6343,-0.4286
2026-06-08,XRP,8,-0.84,-0.42,0.0
2026-06-08,SOL,8,-0.84,-0.3485,0.1429
2026-06-08,LINK,8,-0.84,-0.4914,-0.1429
2026-06-08,HBAR,8,-0.84,-0.3247,0.1905
2026-06-08,XLM,8,-0.84,-0.3485,0.1429
2026-06-08,ADA,8,-0.84,-0.3724,0.0952
2026-06-08,DOT,8,-0.84,-0.42,0.0
2026-06-08,AVAX,8,-0.84,-0.42,0.0
2026-06-08,ATOM,8,-0.84,-0.2772,0.2857
2026-06-08,LMT,8,-0.84,0.1429,0.1429
2026-06-08,ABTC,8,-0.84,-0.1429,-0.1429
2026-06-08,PFE,8,-0.84,0.4286,0.4286
2026-06-08,ORCL,8,-0.84,0.1429,0.1429
2026-06-08,AAPL,8,-0.84,0.0,0.0
2026-06-08,NVDA,8,-0.84,0.1429,0.1429
2026-06-08,MSFT,8,-0.84,0.0,0.0
2026-06-08,AMZN,8,-0.84,0.5714,0.5714
2026-06-08,JPM,8,-0.84,0.1429,0.1429
2026-06-08,SPY,8,-0.84,0.1429,0.1429
2026-06-08,QQQ,8,-0.84,-0.1429,-0.1429
2026-06-09,BTC,9,-0.82,-0.4814,-0.1429
2026-06-09,XRP,9,-0.82,-0.5528,-0.2857
2026-06-09,SOL,9,-0.82,-0.41,0.0
2026-06-09,LINK,9,-0.82,-0.1243,0.5714
2026-06-09,HBAR,9,-0.82,-0.2671,0.2857
2026-06-09,XLM,9,-0.82,-0.2671,0.2857
2026-06-09,ADA,9,-0.82,-0.41,0.0
2026-06-09,DOT,9,-0.82,-0.4814,-0.1429
2026-06-09,AVAX,9,-0.82,-0.41,0.0
2026-06-09,ATOM,9,-0.82,-0.41,0.0
2026-06-09,LMT,9,-0.82,0.0,0.0
2026-06-09,ABTC,9,-0.82,-0.1429,-0.1429
2026-06-09,PFE,9,-0.82,0.4286,0.4286
2026-06-09,ORCL,9,-0.82,0.1429,0.1429
2026-06-09,AAPL,9,-0.82,-0.5714,-0.5714
2026-06-09,NVDA,9,-0.82,-0.4286,-0.4286
2026-06-09,MSFT,9,-0.82,0.5714,0.5714
2026-06-09,AMZN,9,-0.82,0.2857,0.2857
2026-06-09,JPM,9,-0.82,0.0,0.0
2026-06-09,SPY,9,-0.82,-0.1429,-0.1429
2026-06-09,QQQ,9,-0.82,0.0,0.0
2026-06-10,BTC,12,-0.76,-0.38,0.0
2026-06-10,XRP,12,-0.76,-0.38,0.0
2026-06-10,SOL,12,-0.76,-0.38,0.0
2026-06-10,LINK,12,-0.76,-0.1657,0.4286
2026-06-10,HBAR,12,-0.76,-0.38,0.0
2026-06-10,XLM,12,-0.76,-0.38,0.0
2026-06-10,ADA,12,-0.76,-0.38,0.0
2026-06-10,DOT,12,-0.76,-0.38,0.0
2026-06-10,AVAX,12,-0.76,-0.1657,0.4286
2026-06-10,ATOM,12,-0.76,-0.0228,0.7143
2026-06-10,LMT,12,-0.76,-0.2857,-0.2857
2026-06-10,ABTC,12,-0.76,-0.1429,-0.1429
2026-06-10,PFE,12,-0.76,0.2857,0.2857
2026-06-10,ORCL,12,-0.76,0.0476,0.0476
2026-06-10,AAPL,12,-0.76,0.0,0.0
2026-06-10,NVDA,12,-0.76,-0.1905,-0.1905
2026-06-10,MSFT,12,-0.76,0.2857,0.2857
2026-06-10,AMZN,12,-0.76,0.2857,0.2857
2026-06-10,JPM,12,-0.76,0.1429,0.1429
2026-06-10,SPY,12,-0.76,-0.1429,-0.1429
2026-06-10,QQQ,12,-0.76,0.0,0.0
2026-06-11,BTC,12,-0.76,-0.38,0.0
2026-06-11,XRP,12,-0.76,-0.4753,-0.1905
2026-06-11,SOL,12,-0.76,-0.3085,0.1429
2026-06-11,LINK,12,-0.76,-0.2371,0.2857
2026-06-11,HBAR,12,-0.76,-0.2371,0.2857
2026-06-11,XLM,12,-0.76,-0.2371,0.2857
2026-06-11,ADA,12,-0.76,-0.4515,-0.1429
2026-06-11,DOT,12,-0.76,-0.3085,0.1429
2026-06-11,AVAX,12,-0.76,-0.2371,0.2857
2026-06-11,ATOM,12,-0.76,-0.1657,0.4286
2026-06-11,LMT,12,-0.76,-0.2857,-0.2857
2026-06-11,ABTC,12,-0.76,0.0,0.0
2026-06-11,PFE,12,-0.76,0.5714,0.5714
2026-06-11,ORCL,12,-0.76,-0.1429,-0.1429
2026-06-11,AAPL,12,-0.76,-0.1429,-0.1429
2026-06-11,NVDA,12,-0.76,-0.0238,-0.0238
2026-06-11,MSFT,12,-0.76,0.4286,0.4286
2026-06-11,AMZN,12,-0.76,0.0,0.0
2026-06-11,JPM,12,-0.76,0.2857,0.2857
2026-06-11,SPY,12,-0.76,0.1429,0.1429
2026-06-11,QQQ,12,-0.76,0.4762,0.4762
2026-06-12,BTC,13,-0.74,-0.4415,-0.1429
2026-06-12,XRP,13,-0.74,-0.2985,0.1429
2026-06-12,SOL,13,-0.74,-0.37,0.0
2026-06-12,LINK,13,-0.74,-0.2271,0.2857
2026-06-12,HBAR,13,-0.74,-0.0128,0.7143
2026-06-12,XLM,13,-0.74,-0.2985,0.1429
2026-06-12,ADA,13,-0.74,-0.2271,0.2857
2026-06-12,DOT,13,-0.74,-0.2985,0.1429
2026-06-12,AVAX,13,-0.74,-0.4415,-0.1429
2026-06-12,ATOM,13,-0.74,-0.1557,0.4286
2026-06-12,LMT,13,-0.74,-0.2857,-0.2857
2026-06-12,ABTC,13,-0.74,-0.1429,-0.1429
2026-06-12,PFE,13,-0.74,0.4286,0.4286
2026-06-12,ORCL,13,-0.74,-0.4286,-0.4286
2026-06-12,AAPL,13,-0.74,-0.1429,-0.1429
2026-06-12,NVDA,13,-0.74,0.4286,0.4286
2026-06-12,MSFT,13,-0.74,0.4286,0.4286
2026-06-12,AMZN,13,-0.74,0.0,0.0
2026-06-12,JPM,13,-0.74,0.4286,0.4286
2026-06-12,SPY,13,-0.74,0.2857,0.2857
2026-06-12,QQQ,13,-0.74,0.2857,0.2857
2026-06-13,BTC,18,-0.64,-0.3915,-0.1429
2026-06-13,XRP,18,-0.64,-0.2724,0.0952
2026-06-13,SOL,18,-0.64,-0.2485,0.1429
2026-06-13,LINK,18,-0.64,-0.1772,0.2857
2026-06-13,HBAR,18,-0.64,-0.1772,0.2857
2026-06-13,XLM,18,-0.64,-0.0343,0.5714
2026-06-13,ADA,18,-0.64,-0.3915,-0.1429
2026-06-13,DOT,18,-0.64,-0.2485,0.1429
2026-06-13,AVAX,18,-0.64,-0.3915,-0.1429
2026-06-13,ATOM,18,-0.64,-0.1057,0.4286
2026-06-13,LMT,18,-0.64,0.0,0.0
2026-06-13,ABTC,18,-0.64,-0.1429,-0.1429
2026-06-13,PFE,18,-0.64,0.4286,0.4286
2026-06-13,ORCL,18,-0.64,0.1429,0.1429
2026-06-13,AAPL,18,-0.64,0.1429,0.1429
2026-06-13,NVDA,18,-0.64,0.0,0.0
2026-06-13,MSFT,18,-0.64,0.1429,0.1429
2026-06-13,AMZN,18,-0.64,0.4286,0.4286
2026-06-13,JPM,18,-0.64,0.2857,0.2857
2026-06-13,SPY,18,-0.64,0.1429,0.1429
2026-06-13,QQQ,18,-0.64,0.1905,0.1905
